Career Name,Bucket,RIASEC Profile,v_01 (R) - Hands-on,v_02 (C) - Rules,v_03 (I) - Puzzles,v_04 (S) - Helping,v_05 (A) - Creative,v_06 (E) - Leading,v_07 (C) - Routine,v_08 (R) - Outdoors,v_09 (I) - Understanding,v_10 (A) - Storytelling,v_11 (C) - Organizing,v_12 (S) - Teaching,v_13 (E) - Risk,v_14 (I) - Experimenting,e_04 (Subjects) - MANDATORY,e_06 (Extracurricular Tags),e_07 (Parent Influence),e_10 (Study Abroad),e_11 (Work Style),e_14 (Long Study Check),e_09 (Vocational Boost),e_15 (Dream Career Boost),e_05 (Class Rank Impact),e_12 (Positive Text Bonus),e_13 (Negative Filter Impact)
Frontend Developer,Computer Science & Software Development,EAC,,High (RIASEC),,,High (RIASEC),High (RIASEC),High (RIASEC),,,High (RIASEC),High (RIASEC),,High (RIASEC),,"Computer Science,Mathematics","web,ui",Bonus if parent in Computer Science & Software Development,,Office/Lab Bonus,,,Bonus if matches 'Frontend Developer' or 'Computer Science & Software Development',,Bonus if text matches 'Frontend Developer' or 'Computer Science & Software Development',Penalty if text matches 'Frontend Developer' or 'Computer Science & Software Development'
Backend Developer,Computer Science & Software Development,IR,High (RIASEC),,High (RIASEC),,,,,High (RIASEC),High (RIASEC),,,,,High (RIASEC),"Computer Science,Mathematics","servers,logic",Bonus if parent in Computer Science & Software Development,,Office/Lab Bonus,,,Bonus if matches 'Backend Developer' or 'Computer Science & Software Development',,Bonus if text matches 'Backend Developer' or 'Computer Science & Software Development',Penalty if text matches 'Backend Developer' or 'Computer Science & Software Development'
Fullstack Developer,Computer Science & Software Development,IRE,High (RIASEC),,High (RIASEC),,,High (RIASEC),,High (RIASEC),High (RIASEC),,,,High (RIASEC),High (RIASEC),"Computer Science,Mathematics","web,systems",Bonus if parent in Computer Science & Software Development,,Office/Lab Bonus,,,Bonus if matches 'Fullstack Developer' or 'Computer Science & Software Development',,Bonus if text matches 'Fullstack Developer' or 'Computer Science & Software Development',Penalty if text matches 'Fullstack Developer' or 'Computer Science & Software Development'
Mobile App Developer,Computer Science & Software Development,IE,,,High (RIASEC),,,High (RIASEC),,,High (RIASEC),,,,High (RIASEC),High (RIASEC),"Computer Science,Mathematics","mobile,apps",Bonus if parent in Computer Science & Software Development,,Office/Lab Bonus,,,Bonus if matches 'Mobile App Developer' or 'Computer Science & Software Development',,Bonus if text matches 'Mobile App Developer' or 'Computer Science & Software Development',Penalty if text matches 'Mobile App Developer' or 'Computer Science & Software Development'
UX/UI Designer,Design Media & Creative Industries,AE,,,,,High (RIASEC),High (RIASEC),,,,High (RIASEC),,,High (RIASEC),,"Art / Design,Computer Science","design,creative",Bonus if parent in Design Media & Creative Industries,,,,,Bonus if matches 'UX/UI Designer' or 'Design Media & Creative Industries',,Bonus if text matches 'UX/UI Designer' or 'Design Media & Creative Industries',Penalty if text matches 'UX/UI Designer' or 'Design Media & Creative Industries'
Graphic Designer,Design Media & Creative Industries,A,,,,,High (RIASEC),,,,,High (RIASEC),,,,,Art / Design,"creative,visual",Bonus if parent in Design Media & Creative Industries,,,,,Bonus if matches 'Graphic Designer' or 'Design Media & Creative Industries',,Bonus if text matches 'Graphic Designer' or 'Design Media & Creative Industries',Penalty if text matches 'Graphic Designer' or 'Design Media & Creative Industries'
Animation & VFX Artist,Design Media & Creative Industries,A,,,,,High (RIASEC),,,,,High (RIASEC),,,,,"Art / Design,Computer Science","animation,creative",Bonus if parent in Design Media & Creative Industries,,,,,Bonus if matches 'Animation & VFX Artist' or 'Design Media & Creative Industries',,Bonus if text matches 'Animation & VFX Artist' or 'Design Media & Creative Industries',Penalty if text matches 'Animation & VFX Artist' or 'Design Media & Creative Industries'
Doctor (MBBS),Healthcare & Life Sciences,SI,,,High (RIASEC),High (RIASEC),,,,,High (RIASEC),,,High (RIASEC),,High (RIASEC),"Biology,Chemistry","medicine,service",Bonus if parent in Healthcare & Life Sciences,,,Penalty if No,,Bonus if matches 'Doctor (MBBS)' or 'Healthcare & Life Sciences',High Rank Bonus / Low Rank Penalty,Bonus if text matches 'Doctor (MBBS)' or 'Healthcare & Life Sciences',Penalty if text matches 'Doctor (MBBS)' or 'Healthcare & Life Sciences'
Dentist (BDS),Healthcare & Life Sciences,SI,,,High (RIASEC),High (RIASEC),,,,,High (RIASEC),,,High (RIASEC),,High (RIASEC),"Biology,Chemistry","medicine,hands_on",Bonus if parent in Healthcare & Life Sciences,,,,,Bonus if matches 'Dentist (BDS)' or 'Healthcare & Life Sciences',High Rank Bonus / Low Rank Penalty,Bonus if text matches 'Dentist (BDS)' or 'Healthcare & Life Sciences',Penalty if text matches 'Dentist (BDS)' or 'Healthcare & Life Sciences'
Clinical Research Associate,Healthcare & Life Sciences,IR,High (RIASEC),,High (RIASEC),,,,,High (RIASEC),High (RIASEC),,,,,High (RIASEC),"Biology,Chemistry,Math","research,lab",Bonus if parent in Healthcare & Life Sciences,,,,,Bonus if matches 'Clinical Research Associate' or 'Healthcare & Life Sciences',High Rank Bonus / Low Rank Penalty,Bonus if text matches 'Clinical Research Associate' or 'Healthcare & Life Sciences',Penalty if text matches 'Clinical Research Associate' or 'Healthcare & Life Sciences'
Chartered Accountant,Finance & Business Consulting,CI,,High (RIASEC),High (RIASEC),,,,High (RIASEC),,High (RIASEC),,High (RIASEC),,,High (RIASEC),"Mathematics,Accountancy","finance,numbers",Bonus if parent in Finance & Business Consulting,,,,,Bonus if matches 'Chartered Accountant' or 'Finance & Business Consulting',,Bonus if text matches 'Chartered Accountant' or 'Finance & Business Consulting',Penalty if text matches 'Chartered Accountant' or 'Finance & Business Consulting'
Finance Analyst,Finance & Business Consulting,CI,,High (RIASEC),High (RIASEC),,,,High (RIASEC),,High (RIASEC),,High (RIASEC),,,High (RIASEC),"Mathematics,Economics","finance,analysis",Bonus if parent in Finance & Business Consulting,,,,,Bonus if matches 'Finance Analyst' or 'Finance & Business Consulting',,Bonus if text matches 'Finance Analyst' or 'Finance & Business Consulting',Penalty if text matches 'Finance Analyst' or 'Finance & Business Consulting'
Lawyer,Law Public Policy & Social Sciences,ES,,,,High (RIASEC),,High (RIASEC),,,,,,High (RIASEC),High (RIASEC),,"English,Social Studies","law,advocacy",Bonus if parent in Law Public Policy & Social Sciences,,,,,Bonus if matches 'Lawyer' or 'Law Public Policy & Social Sciences',High Rank Bonus / Low Rank Penalty,Bonus if text matches 'Lawyer' or 'Law Public Policy & Social Sciences',Penalty if text matches 'Lawyer' or 'Law Public Policy & Social Sciences'
Architect,Architecture Planning & Built Environment,RA,High (RIASEC),,,,High (RIASEC),,,High (RIASEC),,High (RIASEC),,,,,"Mathematics,Art / Design","design,built_environment",Bonus if parent in Architecture Planning & Built Environment,,,Penalty if No,,Bonus if matches 'Architect' or 'Architecture Planning & Built Environment',,Bonus if text matches 'Architect' or 'Architecture Planning & Built Environment',Penalty if text matches 'Architect' or 'Architecture Planning & Built Environment'
Chef,Culinary & Hospitality,R,High (RIASEC),,,,,,,High (RIASEC),,,,,,,"Chemistry,Physical Education","food,hands_on",Bonus if parent in Culinary & Hospitality,,,,,Bonus if matches 'Chef' or 'Culinary & Hospitality',,Bonus if text matches 'Chef' or 'Culinary & Hospitality',Penalty if text matches 'Chef' or 'Culinary & Hospitality'
Electrician Technician,Trades Vocational & Skilled Services,R,High (RIASEC),,,,,,,High (RIASEC),,,,,,,Physics,"trades,hands_on",Bonus if parent in Trades Vocational & Skilled Services,,,,Bonus if Yes / Penalty if No,Bonus if matches 'Electrician Technician' or 'Trades Vocational & Skilled Services',,Bonus if text matches 'Electrician Technician' or 'Trades Vocational & Skilled Services',Penalty if text matches 'Electrician Technician' or 'Trades Vocational & Skilled Services'
School Teacher,Education & Training,SE,,,,High (RIASEC),,High (RIASEC),,,,,,High (RIASEC),High (RIASEC),,Any,"teaching,service",Bonus if parent in Education & Training,,,,,Bonus if matches 'School Teacher' or 'Education & Training',,Bonus if text matches 'School Teacher' or 'Education & Training',Penalty if text matches 'School Teacher' or 'Education & Training'
Sustainability Consultant,Environment & Sustainability,IA,,,High (RIASEC),,High (RIASEC),,,,High (RIASEC),High (RIASEC),,,,High (RIASEC),"Environmental Science,Chemistry","sustainability,new_age",Bonus if parent in Environment & Sustainability,Yes,,,,Bonus if matches 'Sustainability Consultant' or 'Environment & Sustainability',,Bonus if text matches 'Sustainability Consultant' or 'Environment & Sustainability',Penalty if text matches 'Sustainability Consultant' or 'Environment & Sustainability'
Actor,Arts Performance & Entertainment,AE,,,,,High (RIASEC),High (RIASEC),,,,High (RIASEC),,,High (RIASEC),,"Art / Design,English","performance,creative",Bonus if parent in Arts Performance & Entertainment,,,,,Bonus if matches 'Actor' or 'Arts Performance & Entertainment',,Bonus if text matches 'Actor' or 'Arts Performance & Entertainment',Penalty if text matches 'Actor' or 'Arts Performance & Entertainment'
Product Manager,Entrepreneurship & Product Management,EE,,,,,,High (RIASEC),,,,,,,High (RIASEC),,"Mathematics,Computer Science,English","product,new_age",Bonus if parent in Entrepreneurship & Product Management,Yes,,,,Bonus if matches 'Product Manager' or 'Entrepreneurship & Product Management',,Bonus if text matches 'Product Manager' or 'Entrepreneurship & Product Management',Penalty if text matches 'Product Manager' or 'Entrepreneurship & Product Management'
Cybersecurity Analyst,Cybersecurity Networks & Emerging Tech,IR,High (RIASEC),,High (RIASEC),,,,,High (RIASEC),High (RIASEC),,,,,High (RIASEC),"Computer Science,Mathematics","security,new_age",Bonus if parent in Cybersecurity Networks & Emerging Tech,Yes,,,,Bonus if matches 'Cybersecurity Analyst' or 'Cybersecurity Networks & Emerging Tech',,Bonus if text matches 'Cybersecurity Analyst' or 'Cybersecurity Networks & Emerging Tech',Penalty if text matches 'Cybersecurity Analyst' or 'Cybersecurity Networks & Emerging Tech'
Blockchain Developer,Cybersecurity Networks & Emerging Tech,IR,High (RIASEC),,High (RIASEC),,,,,High (RIASEC),High (RIASEC),,,,,High (RIASEC),"Computer Science,Mathematics","blockchain,new_age",Bonus if parent in Cybersecurity Networks & Emerging Tech,Yes,,,,Bonus if matches 'Blockchain Developer' or 'Cybersecurity Networks & Emerging Tech',,Bonus if text matches 'Blockchain Developer' or 'Cybersecurity Networks & Emerging Tech',Penalty if text matches 'Blockchain Developer' or 'Cybersecurity Networks & Emerging Tech'
Drone Systems Operator,Cybersecurity Networks & Emerging Tech,R,High (RIASEC),,,,,,,High (RIASEC),,,,,,,"Physics,Computer Science","drones,new_age",Bonus if parent in Cybersecurity Networks & Emerging Tech,Yes,,,,Bonus if matches 'Drone Systems Operator' or 'Cybersecurity Networks & Emerging Tech',,Bonus if text matches 'Drone Systems Operator' or 'Cybersecurity Networks & Emerging Tech',Penalty if text matches 'Drone Systems Operator' or 'Cybersecurity Networks & Emerging Tech'
